,Radio,MCC,MNC,LAC/TAC/NID,CID,?,Longitude,Latitude,Samples,Changeable=1,Changeable=0,Created,Updated,AverageSignal
0,GSM,214,1,19568,12246,0,-3.799133,40.352326,2270,18,1,1320397885,1343931756,0
1,GSM,214,1,19568,18317,0,-3.796951,40.353043,3190,45,1,1320939958,1343951357,0
2,GSM,214,1,19568,18318,0,-3.794403,40.34832,1111,4,1,1320940101,1322713231,0
3,GSM,214,1,16206,15313,0,-3.80052,40.351535,1928,22,1,1320940101,1343951357,0
4,GSM,214,1,16070,14803,0,-3.80016,40.350195,1098,13,1,1320940101,1343951056,0
5,GSM,214,1,16206,14793,0,-3.799452,40.352097,1825,17,1,1322847053,1343940937,0
6,GSM,214,3,1012,45081,0,-3.8005828857422,40.350723266602,1000,2,1,1322712614,1322712614,0
7,GSM,214,1,19568,11946,0,-3.800681,40.351949,1000,28,1,1322847298,1343932964,0
8,GSM,214,7,2806,6446,0,-3.799896,40.349121,1000,6,1,1322847298,1469076895,0
9,GSM,214,3,1012,10252,0,-3.8005828857422,40.350723266602,1000,2,1,1322712614,1322712614,0
10,GSM,214,3,1010,2404,0,-3.8005828857422,40.350723266602,1000,2,1,1322712614,1322712614,0
11,GSM,214,1,16070,14801,0,-3.8005828857422,40.350723266602,1000,4,1,1322847298,1343932058,0
12,GSM,214,3,1012,10027,0,-3.8005828857422,40.350723266602,1000,2,1,1322712614,1322712614,0
13,GSM,214,1,19568,12949,0,-3.8005828857422,40.350723266602,1000,2,1,1322847298,1343933266,0
14,GSM,214,7,2806,6444,0,-3.798111,40.352097,1000,5,1,1322847298,1469076895,0
15,GSM,214,3,1012,15159,0,-3.8005828857422,40.350723266602,1000,2,1,1322712614,1322712614,0
16,GSM,214,7,2805,5164,0,-3.8005828857422,40.350723266602,1000,2,1,1322712614,1322712614,0
17,GSM,214,3,1012,41269,0,-3.8005828857422,40.350723266602,1000,2,1,1322712614,1322712614,0
18,GSM,214,3,1010,2413,0,-3.8005828857422,40.350723266602,1000,1,1,1322712185,1322712185,0
19,GSM,214,3,1001,851,0,-3.8005828857422,40.350723266602,1000,1,1,1322712185,1322712185,0
20,GSM,214,3,1010,2401,0,-3.8005828857422,40.350723266602,1000,2,1,1322712614,1322712614,0
21,GSM,214,1,19568,8038,0,-3.8005828857422,40.350723266602,1000,1,1,1322712185,1322712185,0
22,GSM,214,1,19568,12947,0,-3.8005828857422,40.350723266602,1000,1,1,1322712185,1322712185,0
23,GSM,214,1,12631,14259,0,-3.8005828857422,40.350723266602,1000,1,1,1322712185,1322712185,0
24,GSM,214,1,16206,12209,0,-3.8005828857422,40.350723266602,1000,1,1,1322712185,1322712185,0
25,GSM,214,3,1010,2408,0,-3.8005828857422,40.350723266602,1000,1,1,1322712614,1322712614,0
26,GSM,214,1,19568,12292,0,-3.8005828857422,40.350723266602,1000,2,1,1322712614,1322712614,0
27,GSM,214,3,1012,2538,0,-3.8005828857422,40.350723266602,1000,1,1,1322712614,1322712614,0
28,GSM,214,3,1012,2522,0,-3.8005828857422,40.350723266602,1000,1,1,1322712614,1322712614,0
29,GSM,214,3,1004,1011,0,-3.8005828857422,40.350723266602,1000,1,1,1322712614,1322712614,0
30,GSM,214,1,19568,11944,0,-3.80073,40.352391,1831,28,1,1322847309,1343951357,0
31,GSM,214,1,13181,16693,0,-3.8005828857422,40.352096557617,1000,1,1,1322713591,1322713591,0
32,GSM,214,1,19568,98,0,-3.8005828857422,40.350723266602,1000,1,1,1343930246,1343930246,0
33,GSM,214,1,16070,12611,0,-3.8005828857422,40.350723266602,1000,1,1,1343931152,1343931152,0
34,GSM,214,3,1122,2198,0,-3.795549,40.347177,5406,12,1,1353379739,1353379739,0
35,UMTS,214,1,19568,8066853,0,-3.79921,40.350494,1000,6,1,1392639320,1471532424,0
36,UMTS,214,7,2863,73947215,0,-3.795092,40.347979,2013,2,1,1394713233,1419246392,0
37,UMTS,214,7,2863,73976120,0,-3.797518,40.352454,10155,4,1,1399882571,1431086631,0
38,UMTS,214,7,21605,10768087,0,-3.8019561767578,40.350723266602,1000,1,1,1415364968,1415364968,0
39,GSM,214,3,1116,2233,0,-3.799646,40.346501,3321,76,1,1458590130,1674185502,0
40,GSM,214,3,1116,10323,0,-3.79846,40.347727,1000,11,1,1458590133,1476399951,0
41,GSM,214,3,1116,2199,0,-3.799403,40.35227,1135,28,1,1458590129,1605853631,0
42,LTE,214,7,28630,71812894,0,-3.7992095947266,40.350723266602,1000,22,1,1458595687,1465300233,0
43,UMTS,214,7,2863,237795670,0,-3.794415,40.348134,1000,6,1,1455721911,1635831182,0
44,UMTS,214,7,2863,237795669,0,-3.793716,40.350037,1000,2,1,1458599690,1471478066,0
45,UMTS,214,7,2863,237801360,0,-3.7992095947266,40.346603393555,1000,1,1,1453292168,1453292168,0
46,UMTS,214,7,2863,237801359,0,-3.7992095947266,40.34797668457,1000,1,1,1457075019,1457075019,0
47,UMTS,214,7,2863,237801361,0,-3.8023,40.349007,1000,4,1,1458599692,1487416409,0
48,UMTS,214,1,19568,8070267,0,-3.795547,40.350266,1000,3,1,1458605364,1473621274,0
49,UMTS,214,1,19568,8119330,0,-3.7992095947266,40.350723266602,1000,1,1,1458128564,1458128564,0
50,UMTS,214,1,19568,8098079,0,-3.7964630126953,40.349349975586,1000,1,1,1440061707,1440061707,0
51,UMTS,214,1,19568,8119285,0,-3.7950897216797,40.350723266602,1000,1,1,1434125113,1434125113,0
52,UMTS,214,1,19568,8061886,0,-3.8019561767578,40.350723266602,1000,1,1,1430358653,1430358653,0
53,UMTS,214,1,19568,8119382,0,-3.799896,40.350723,1000,2,1,1458605367,1468945232,0
54,LTE,214,3,1316,650507,0,-3.8019561767578,40.349349975586,1000,1,1,1453901254,1453901254,0
55,LTE,214,4,28014,72193637,0,-3.7964630126953,40.346603393555,1000,1,1,1457275119,1457275119,0
56,LTE,214,4,28014,72196709,0,-3.7992095947266,40.352096557617,1000,1,1,1458177730,1458177730,0
57,LTE,214,4,28014,72196711,0,-3.8019561767578,40.349349975586,1000,2,1,1458667017,1459273709,0
58,UMTS,214,3,1116,6902673,0,-3.794894,40.348369,1000,7,1,1458812788,1482663414,0
59,UMTS,214,3,1116,6913479,0,-3.7992095947266,40.352096557617,1000,1,1,1443898659,1443898659,0
60,UMTS,214,4,21605,10768086,0,-3.7950897216797,40.350723266602,1000,1,1,1431040895,1431040895,0
61,LTE,214,3,1216,650507,0,-3.802174,40.349138,1000,31,1,1458820591,1605282401,0
62,LTE,214,3,1216,650506,0,-3.79564,40.349836,6833,28,1,1458820591,1605364638,0
63,LTE,214,1,283,73242369,0,-3.801848,40.349567,1000,38,1,1458912495,1490248124,0
64,LTE,214,1,283,73446915,0,-3.800926,40.350494,1000,12,1,1458912495,1486109626,0
65,UMTS,214,1,16206,8104715,0,-3.7964630126953,40.352096557617,1000,4,1,1458914101,1478169671,0
66,UMTS,214,1,16206,8061885,0,-3.79509,40.350998,1000,5,1,1458914100,1478495524,0
67,UMTS,214,1,16206,8104716,0,-3.795319,40.347748,1000,6,1,1458914101,1480153482,0
68,UMTS,214,1,16206,8119285,0,-3.7964630126953,40.352096557617,1000,1,1,1445504147,1445504147,0
69,UMTS,214,1,16206,8747525,0,-3.7978363037109,40.352096557617,1000,1,1,1450354640,1450354640,0
70,UMTS,214,7,2860,237795677,0,-3.8019561767578,40.350723266602,1000,1,1,1447504026,1447504026,0
71,UMTS,214,7,2860,237795280,0,-3.797836,40.350723,1000,2,1,1458943724,1472402222,0
72,LTE,214,7,28630,71812874,0,-3.798386,40.351181,1000,15,1,1458595687,1468365764,0
73,LTE,214,4,28017,72196711,0,-3.8019561767578,40.34797668457,1000,1,1,1463410359,1463410359,0
74,UMTS,214,3,1110,6903774,0,-3.8005828857422,40.352096557617,1000,1,1,1464454980,1464454980,0
75,GSM,214,3,1116,2197,0,-3.798093,40.347138,1000,20,1,1465056553,1605853766,0
76,LTE,214,7,28633,71812874,0,-3.79509,40.351223,1000,11,1,1474009528,1492356123,0
77,UMTS,214,7,2860,244344894,0,-3.797626,40.34752,1353,49,1,1635831100,1635831248,0
