Time,R1_latency,R2_latency,R3_latency,R4_latency,R5_latency,R6_latency,ne_latency,fe_latency,cs_latency,PoA,server,Delay
1,0,0,2,0,0,0,0,0,9,R3,cs,11
2,0,0,2,0,0,0,0,0,9,R3,cs,11
3,0,0,2,0,0,0,0,0,9,R3,cs,11
4,0,0,2,0,0,0,0,0,9,R3,cs,11
5,0,0,2,0,0,0,0,0,9,R3,cs,11
6,0,0,2,0,0,0,0,0,9,R3,cs,11
7,0,0,2,0,0,0,0,0,9,R3,cs,11
8,0,0,2,0,0,0,0,0,9,R3,cs,11
9,0,0,2,0,0,0,0,0,9,R3,cs,11
10,0,0,2,0,0,0,0,0,9,R3,cs,11
11,0,0,2,0,0,0,0,0,9,R3,cs,11
12,0,0,2,0,0,0,0,0,9,R3,cs,11
13,0,0,2,0,0,0,0,0,9,R3,cs,11
14,0,0,2,0,0,0,0,0,9,R3,cs,11
15,0,0,2,0,0,0,0,0,9,R3,cs,11
16,0,0,2,0,0,0,0,0,9,R3,cs,11
17,0,0,2,0,0,0,0,0,9,R3,cs,11
18,0,0,2,0,0,0,0,0,9,R3,cs,11
19,0,0,2,0,0,0,0,0,9,R3,cs,11
20,0,0,2,0,0,0,0,0,9,R3,cs,11
21,0,0,2,0,0,0,0,0,9,R3,cs,11
22,0,0,2,0,0,0,0,0,9,R3,cs,11
23,0,0,2,0,0,0,0,0,9,R3,cs,11
24,0,0,2,0,0,0,0,0,9,R3,cs,11
25,0,0,2,0,0,0,0,0,9,R3,cs,11
26,0,0,2,0,0,0,0,0,9,R3,cs,11
27,0,0,2,0,0,0,0,0,9,R3,cs,11
28,0,0,2,0,0,0,0,0,9,R3,cs,11
29,0,0,2,0,0,0,0,0,9,R3,cs,11
30,0,0,2,0,0,0,0,0,9,R3,cs,11
31,0,0,2,0,0,0,0,0,9,R3,cs,11
32,0,0,2,0,0,0,0,0,9,R3,cs,11
33,0,0,2,0,0,0,0,0,9,R3,cs,11
34,0,0,2,0,0,0,0,0,9,R3,cs,11
35,0,0,2,0,0,0,0,0,9,R3,cs,11
36,0,0,2,0,0,0,0,0,9,R3,cs,11
37,0,0,2,0,0,0,0,0,9,R3,cs,11
38,0,0,2,0,0,0,0,0,9,R3,cs,11
39,0,0,2,0,0,0,0,0,9,R3,cs,11
40,0,0,2,0,0,0,0,0,9,R3,cs,11
41,0,0,2,0,0,0,0,0,9,R3,cs,11
42,0,0,2,0,0,0,0,0,9,R3,cs,11
43,0,0,2,0,0,0,0,0,9,R3,cs,11
44,0,0,2,0,0,0,0,0,9,R3,cs,11
45,0,0,2,0,0,0,0,0,9,R3,cs,11
46,0,0,2,0,0,0,0,0,9,R3,cs,11
47,0,0,2,0,0,0,0,0,9,R3,cs,11
48,0,0,2,0,0,0,0,0,9,R3,cs,11
49,0,0,2,0,0,0,0,0,9,R3,cs,11
50,0,0,2,0,0,0,0,0,9,R3,cs,11
51,0,0,2,0,0,0,0,4,0,R3,fe,6
52,0,0,2,0,0,0,0,4,0,R3,fe,6
53,0,0,2,0,0,0,0,4,0,R3,fe,6
54,0,0,2,0,0,0,0,4,0,R3,fe,6
55,0,0,2,0,0,0,0,4,0,R3,fe,6
56,0,0,2,0,0,0,0,4,0,R3,fe,6
57,0,0,2,0,0,0,0,4,0,R3,fe,6
58,0,0,2,0,0,0,0,4,0,R3,fe,6
59,0,0,2,0,0,0,0,4,0,R3,fe,6
60,0,0,2,0,0,0,0,4,0,R3,fe,6
61,0,0,2,0,0,0,0,4,0,R3,fe,6
62,0,0,2,0,0,0,0,4,0,R3,fe,6
63,0,0,2,0,0,0,0,4,0,R3,fe,6
64,0,0,2,0,0,0,0,4,0,R3,fe,6
65,0,0,2,0,0,0,0,4,0,R3,fe,6
66,0,0,2,0,0,0,0,4,0,R3,fe,6
67,0,0,2,0,0,0,0,4,0,R3,fe,6
68,0,0,2,0,0,0,0,4,0,R3,fe,6
69,0,0,2,0,0,0,0,4,0,R3,fe,6
70,0,0,2,0,0,0,0,4,0,R3,fe,6
71,0,0,2,0,0,0,0,4,0,R3,fe,6
72,0,0,2,0,0,0,0,4,0,R3,fe,6
73,0,0,2,0,0,0,0,4,0,R3,fe,6
74,0,0,2,0,0,0,0,4,0,R3,fe,6
75,0,0,2,0,0,0,0,4,0,R3,fe,6
76,0,0,2,0,0,0,0,4,0,R3,fe,6
77,0,0,2,0,0,0,0,4,0,R3,fe,6
78,0,0,2,0,0,0,0,4,0,R3,fe,6
79,0,0,2,0,0,0,0,4,0,R3,fe,6
80,0,0,2,0,0,0,0,4,0,R3,fe,6
81,0,0,2,0,0,0,0,4,0,R3,fe,6
82,0,0,2,0,0,0,0,4,0,R3,fe,6
83,0,0,2,0,0,0,0,4,0,R3,fe,6
84,0,0,2,0,0,0,0,4,0,R3,fe,6
85,0,0,2,0,0,0,0,4,0,R3,fe,6
86,0,0,2,0,0,0,0,4,0,R3,fe,6
87,0,0,2,0,0,0,0,4,0,R3,fe,6
88,0,0,2,0,0,0,0,4,0,R3,fe,6
89,0,0,2,0,0,0,0,4,0,R3,fe,6
90,0,0,2,0,0,0,0,4,0,R3,fe,6
91,0,0,2,0,0,0,0,4,0,R3,fe,6
92,0,0,2,0,0,0,0,4,0,R3,fe,6
93,0,0,2,0,0,0,0,4,0,R3,fe,6
94,0,0,2,0,0,0,0,4,0,R3,fe,6
95,0,0,2,0,0,0,0,4,0,R3,fe,6
96,0,0,2,0,0,0,0,4,0,R3,fe,6
97,0,0,2,0,0,0,0,4,0,R3,fe,6
98,0,0,2,0,0,0,0,4,0,R3,fe,6
99,0,0,2,0,0,0,0,4,0,R3,fe,6
100,0,0,2,0,0,0,0,4,0,R3,fe,6
101,0,2,0,0,0,0,0,8,0,R2,fe,10
102,0,2,0,0,0,0,0,8,0,R2,fe,10
103,0,2,0,0,0,0,0,8,0,R2,fe,10
104,0,2,0,0,0,0,0,8,0,R2,fe,10
105,0,2,0,0,0,0,0,8,0,R2,fe,10
106,0,2,0,0,0,0,0,8,0,R2,fe,10
107,0,2,0,0,0,0,0,8,0,R2,fe,10
108,0,2,0,0,0,0,0,8,0,R2,fe,10
109,0,2,0,0,0,0,0,8,0,R2,fe,10
110,0,2,0,0,0,0,0,8,0,R2,fe,10
111,0,2,0,0,0,0,0,8,0,R2,fe,10
112,0,2,0,0,0,0,0,8,0,R2,fe,10
113,0,2,0,0,0,0,0,8,0,R2,fe,10
114,0,2,0,0,0,0,0,8,0,R2,fe,10
115,0,2,0,0,0,0,0,8,0,R2,fe,10
116,0,2,0,0,0,0,0,8,0,R2,fe,10
117,0,2,0,0,0,0,0,8,0,R2,fe,10
118,0,2,0,0,0,0,0,8,0,R2,fe,10
119,0,2,0,0,0,0,0,8,0,R2,fe,10
120,0,2,0,0,0,0,0,8,0,R2,fe,10
121,0,2,0,0,0,0,0,8,0,R2,fe,10
122,0,2,0,0,0,0,0,8,0,R2,fe,10
123,0,2,0,0,0,0,0,8,0,R2,fe,10
124,0,2,0,0,0,0,0,8,0,R2,fe,10
125,0,2,0,0,0,0,0,8,0,R2,fe,10
126,0,2,0,0,0,0,0,8,0,R2,fe,10
127,0,2,0,0,0,0,0,8,0,R2,fe,10
128,0,2,0,0,0,0,0,8,0,R2,fe,10
129,0,2,0,0,0,0,0,8,0,R2,fe,10
130,0,2,0,0,0,0,0,8,0,R2,fe,10
131,0,2,0,0,0,0,0,8,0,R2,fe,10
132,0,2,0,0,0,0,0,8,0,R2,fe,10
133,0,2,0,0,0,0,0,8,0,R2,fe,10
134,0,2,0,0,0,0,0,8,0,R2,fe,10
135,0,2,0,0,0,0,0,8,0,R2,fe,10
136,0,2,0,0,0,0,0,8,0,R2,fe,10
137,0,2,0,0,0,0,0,8,0,R2,fe,10
138,0,2,0,0,0,0,0,8,0,R2,fe,10
139,0,2,0,0,0,0,0,8,0,R2,fe,10
140,0,2,0,0,0,0,0,8,0,R2,fe,10
141,0,2,0,0,0,0,0,8,0,R2,fe,10
142,0,2,0,0,0,0,0,8,0,R2,fe,10
143,0,2,0,0,0,0,0,8,0,R2,fe,10
144,0,2,0,0,0,0,0,8,0,R2,fe,10
145,0,2,0,0,0,0,0,8,0,R2,fe,10
146,0,2,0,0,0,0,0,8,0,R2,fe,10
147,0,2,0,0,0,0,0,8,0,R2,fe,10
148,0,2,0,0,0,0,0,8,0,R2,fe,10
149,0,2,0,0,0,0,0,8,0,R2,fe,10
150,0,2,0,0,0,0,0,8,0,R2,fe,10
151,0,0,0,2,0,0,0,8,0,R4,fe,10
152,0,0,0,2,0,0,0,8,0,R4,fe,10
153,0,0,0,2,0,0,0,8,0,R4,fe,10
154,0,0,0,2,0,0,0,8,0,R4,fe,10
155,0,0,0,2,0,0,0,8,0,R4,fe,10
156,0,0,0,2,0,0,0,8,0,R4,fe,10
157,0,0,0,2,0,0,0,8,0,R4,fe,10
158,0,0,0,2,0,0,0,8,0,R4,fe,10
159,0,0,0,2,0,0,0,8,0,R4,fe,10
160,0,0,0,2,0,0,0,8,0,R4,fe,10
161,0,0,0,2,0,0,0,8,0,R4,fe,10
162,0,0,0,2,0,0,0,8,0,R4,fe,10
163,0,0,0,2,0,0,0,8,0,R4,fe,10
164,0,0,0,2,0,0,0,8,0,R4,fe,10
165,0,0,0,2,0,0,0,8,0,R4,fe,10
166,0,0,0,2,0,0,0,8,0,R4,fe,10
167,0,0,0,2,0,0,0,8,0,R4,fe,10
168,0,0,0,2,0,0,0,8,0,R4,fe,10
169,0,0,0,2,0,0,0,8,0,R4,fe,10
170,0,0,0,2,0,0,0,8,0,R4,fe,10
171,0,0,0,2,0,0,0,8,0,R4,fe,10
172,0,0,0,2,0,0,0,8,0,R4,fe,10
173,0,0,0,2,0,0,0,8,0,R4,fe,10
174,0,0,0,2,0,0,0,8,0,R4,fe,10
175,0,0,0,2,0,0,0,8,0,R4,fe,10
176,0,0,0,0,2,0,0,12,0,R5,fe,14
177,0,0,0,0,2,0,0,12,0,R5,fe,14
178,0,0,0,0,2,0,0,12,0,R5,fe,14
179,0,0,0,0,2,0,0,12,0,R5,fe,14
180,0,0,0,0,2,0,0,12,0,R5,fe,14
181,0,0,0,0,2,0,0,12,0,R5,fe,14
182,0,0,0,0,2,0,0,12,0,R5,fe,14
183,0,0,0,0,2,0,0,12,0,R5,fe,14
184,0,0,0,0,2,0,0,12,0,R5,fe,14
185,0,0,0,0,2,0,0,12,0,R5,fe,14
186,0,0,0,0,2,0,0,12,0,R5,fe,14
187,0,0,0,0,2,0,0,12,0,R5,fe,14
188,0,0,0,0,2,0,0,12,0,R5,fe,14
189,0,0,0,0,2,0,0,12,0,R5,fe,14
190,0,0,0,0,2,0,0,12,0,R5,fe,14
191,0,0,0,0,2,0,0,12,0,R5,fe,14
192,0,0,0,0,2,0,0,12,0,R5,fe,14
193,0,0,0,0,2,0,0,12,0,R5,fe,14
194,0,0,0,0,2,0,0,12,0,R5,fe,14
195,0,0,0,0,2,0,0,12,0,R5,fe,14
196,0,0,0,0,2,0,0,12,0,R5,fe,14
197,0,0,0,0,2,0,0,12,0,R5,fe,14
198,0,0,0,0,2,0,0,12,0,R5,fe,14
199,0,0,0,0,2,0,0,12,0,R5,fe,14
200,0,0,0,0,2,0,0,12,0,R5,fe,14
201,0,0,0,0,2,0,0,12,0,R5,fe,14
202,0,0,0,0,2,0,0,12,0,R5,fe,14
203,0,0,0,0,2,0,0,12,0,R5,fe,14
204,0,0,0,0,2,0,0,12,0,R5,fe,14
