time,R1_latency,R2_latency,R3_latency,R4_latency,R5_latency,R6_latency,PoA,server,ne_latency,fe_latency,cs_latency
1,2.0649999999999995,0.0,0.0,0.0,0.0,0.0,R1,cs,0,0,9.0
2,2.094000000000001,0.0,0.0,0.0,0.0,0.0,R1,cs,0,0,9.0
3,4.484000000000002,0.0,0.0,0.0,0.0,0.0,R1,cs,0,0,9.0
4,2.2490000000000006,0.0,0.0,0.0,0.0,0.0,R1,cs,0,0,9.0
5,2.4000000000000004,0.0,0.0,0.0,0.0,0.0,R1,cs,0,0,9.0
6,3.0059999999999985,0.0,0.0,0.0,0.0,0.0,R1,cs,0,0,9.0
7,2.3359999999999985,0.0,0.0,0.0,0.0,0.0,R1,cs,0,0,9.0
8,3.439,0.0,0.0,0.0,0.0,0.0,R1,cs,0,0,9.0
9,2.972999999999999,0.0,0.0,0.0,0.0,0.0,R1,cs,0,0,9.0
10,2.4720000000000013,0.0,0.0,0.0,0.0,0.0,R1,cs,0,0,9.0
11,2.3599999999999994,0.0,0.0,0.0,0.0,0.0,R1,cs,0,0,9.0
12,4.282,0.0,0.0,0.0,0.0,0.0,R1,cs,0,0,9.0
13,3.0020000000000007,0.0,0.0,0.0,0.0,0.0,R1,cs,0,0,9.0
14,3.208,0.0,0.0,0.0,0.0,0.0,R1,cs,0,0,9.0
15,2.67,0.0,0.0,0.0,0.0,0.0,R1,cs,0,0,9.0
16,2.802999999999999,0.0,0.0,0.0,0.0,0.0,R1,cs,0,0,9.0
17,2.2479999999999993,0.0,0.0,0.0,0.0,0.0,R1,cs,0,0,9.0
18,2.005000000000001,0.0,0.0,0.0,0.0,0.0,R1,cs,0,0,9.0
19,2.208,0.0,0.0,0.0,0.0,0.0,R1,cs,0,0,9.0
20,33.227,0.0,0.0,0.0,0.0,0.0,R1,cs,0,0,9.0
21,16.665,0.0,0.0,0.0,0.0,0.0,R1,cs,0,0,9.0
22,2.107000000000001,0.0,0.0,0.0,0.0,0.0,R1,cs,0,0,9.0
23,2.24,0.0,0.0,0.0,0.0,0.0,R1,cs,0,0,9.0
24,2.0759999999999987,0.0,0.0,0.0,0.0,0.0,R1,cs,0,0,9.0
25,2.8070000000000004,0.0,0.0,0.0,0.0,0.0,R1,cs,0,0,9.0
26,2.225999999999999,0.0,0.0,0.0,0.0,0.0,R1,cs,0,0,9.0
27,5.9990000000000006,0.0,0.0,0.0,0.0,0.0,R1,cs,0,0,9.0
28,3.184000000000001,0.0,0.0,0.0,0.0,0.0,R1,cs,0,0,9.0
29,0.0,0.0,0.0,0.0,0.0,0.0,R3,cs,0,0,0.0
30,0.0,0.0,59.4195,0.0,0.0,0.0,R3,cs,0,0,9.0
31,0.0,0.0,5.600999999999999,0.0,0.0,0.0,R3,cs,0,0,9.0
32,0.0,0.0,2.9049999999999994,0.0,0.0,0.0,R3,cs,0,0,9.0
33,0.0,0.0,2.532,0.0,0.0,0.0,R3,cs,0,0,9.0
34,0.0,0.0,2.298,0.0,0.0,0.0,R3,cs,0,0,9.0
35,0.0,0.0,2.277000000000001,0.0,0.0,0.0,R3,cs,0,0,9.0
36,0.0,0.0,2.3840000000000003,0.0,0.0,0.0,R3,cs,0,0,9.0
37,0.0,0.0,2.4840000000000018,0.0,0.0,0.0,R3,cs,0,0,9.0
38,0.0,0.0,2.2029999999999994,0.0,0.0,0.0,R3,cs,0,0,9.0
39,0.0,0.0,2.527000000000001,0.0,0.0,0.0,R3,cs,0,0,9.0
40,0.0,0.0,5.177,0.0,0.0,0.0,R3,cs,0,0,9.0
41,0.0,0.0,2.530999999999999,0.0,0.0,0.0,R3,cs,0,0,9.0
42,0.0,0.0,14.250999999999998,0.0,0.0,0.0,R3,cs,0,0,9.0
43,0.0,0.0,2.555999999999999,0.0,0.0,0.0,R3,cs,0,0,9.0
44,0.0,0.0,2.3470000000000013,0.0,0.0,0.0,R3,cs,0,0,9.0
45,0.0,0.0,12.269000000000002,0.0,0.0,0.0,R3,cs,0,0,9.0
46,0.0,0.0,7.704000000000001,0.0,0.0,0.0,R3,cs,0,0,9.0
47,0.0,0.0,2.317,0.0,0.0,0.0,R3,cs,0,0,9.0
48,0.0,0.0,0.0,0.0,0.0,0.0,R3,cs,0,0,0.0
49,0.0,85.434,0.0,0.0,0.0,0.0,R2,cs,0,0,18.0
50,0.0,8.9255,0.0,0.0,0.0,0.0,R2,cs,0,0,18.0
51,0.0,2.3590000000000018,0.0,0.0,0.0,0.0,R2,cs,0,0,18.0
52,0.0,1.7579999999999991,0.0,0.0,0.0,0.0,R2,cs,0,0,18.0
53,0.0,0.0,0.0,0.0,0.0,0.0,R2,cs,0,0,0.0
54,0.0,2.472999999999999,0.0,0.0,0.0,0.0,R2,cs,0,0,18.0
55,0.0,2.222999999999999,0.0,0.0,0.0,0.0,R2,cs,0,0,18.0
56,0.0,2.1430000000000007,0.0,0.0,0.0,0.0,R2,cs,0,0,18.0
57,0.0,3.761999999999997,0.0,0.0,0.0,0.0,R2,cs,0,0,18.0
58,0.0,2.2959999999999994,0.0,0.0,0.0,0.0,R2,cs,0,0,18.0
59,0.0,2.6080000000000005,0.0,0.0,0.0,0.0,R2,cs,0,0,18.0
60,0.0,2.3930000000000007,0.0,0.0,0.0,0.0,R2,cs,0,0,18.0
61,0.0,2.320999999999998,0.0,0.0,0.0,0.0,R2,cs,0,0,18.0
62,0.0,2.3000000000000007,0.0,0.0,0.0,0.0,R2,cs,0,0,18.0
63,0.0,2.1409999999999982,0.0,0.0,0.0,0.0,R2,cs,0,0,18.0
64,0.0,2.3409999999999975,0.0,0.0,0.0,0.0,R2,cs,0,0,18.0
65,0.0,2.349,0.0,0.0,0.0,0.0,R2,cs,0,0,18.0
66,0.0,2.7669999999999995,0.0,0.0,0.0,0.0,R2,cs,0,0,18.0
67,0.0,3.2269999999999968,0.0,0.0,0.0,0.0,R2,cs,0,0,18.0
68,0.0,2.2920000000000016,0.0,0.0,0.0,0.0,R2,cs,0,0,18.0
69,0.0,2.3190000000000026,0.0,0.0,0.0,0.0,R2,cs,0,0,18.0
70,0.0,2.178000000000001,0.0,0.0,0.0,0.0,R2,cs,0,0,18.0
71,0.0,98.64200000000001,0.0,0.0,0.0,0.0,R2,cs,0,0,18.0
72,0.0,110.475,0.0,0.0,0.0,0.0,R2,cs,0,0,18.0
73,0.0,4.7180000000000035,0.0,0.0,0.0,0.0,R2,cs,0,0,18.0
74,0.0,70.324,0.0,0.0,0.0,0.0,R2,cs,0,0,18.0
75,0.0,93.419,0.0,0.0,0.0,0.0,R2,cs,0,0,18.0
76,0.0,118.81,0.0,0.0,0.0,0.0,R2,cs,0,0,18.0
77,0.0,2.2749999999999986,0.0,0.0,0.0,0.0,R2,cs,0,0,18.0
78,0.0,2.132999999999999,0.0,0.0,0.0,0.0,R2,cs,0,0,18.0
79,0.0,2.6849999999999987,0.0,0.0,0.0,0.0,R2,cs,0,0,18.0
80,0.0,2.0650000000000013,0.0,0.0,0.0,0.0,R2,cs,0,0,18.0
