2020-06-25 13:01:22.731 {"radius": 3, "center": [25.473448429558587, -27.770120401375788]}
2020-06-25 13:03:15.789 {"radius": 3, "center": [25.446943562169096, -27.772254537536043]}
2020-06-25 13:04:08.467 {"radius": 3, "center": [25.501570151891567, -27.486382488086477]}
2020-06-25 13:04:09.524 {"radius": 3, "center": [25.49798869195557, -27.21760331429301]}
2020-06-25 13:04:10.574 {"radius": 3, "center": [25.519841131424542, -26.924652868263664]}
2020-06-25 13:04:11.553 {"radius": 3, "center": [25.51526836050796, -26.6783091730055]}
2020-06-25 13:04:12.533 {"radius": 3, "center": [25.515621531324797, -26.4411647154306]}
2020-06-25 13:04:13.515 {"radius": 3, "center": [25.515114841327655, -26.17571967976343]}
2020-06-25 13:04:14.494 {"radius": 3, "center": [25.520537283444032, -25.9163809579486]}
2020-06-25 13:04:15.478 {"radius": 3, "center": [25.52453470233646, -25.650540151541666]}
2020-06-25 13:04:16.376 {"radius": 3, "center": [25.52700515469579, -25.403411422393877]}
2020-06-25 13:04:17.292 {"radius": 3, "center": [25.534975153017225, -25.15006005513452]}
2020-06-25 13:04:18.193 {"radius": 3, "center": [25.5520763401201, -24.880068007102345]}
2020-06-25 13:04:19.094 {"radius": 3, "center": [25.564302266997224, -24.622318808969627]}
2020-06-25 13:04:20.006 {"radius": 3, "center": [25.582470946241475, -24.37172674705576]}
2020-06-25 13:04:20.908 {"radius": 3, "center": [25.604111110179907, -24.099793012534658]}
2020-06-25 13:04:21.823 {"radius": 3, "center": [25.621913470489385, -23.814598305374965]}
2020-06-25 13:04:22.821 {"radius": 3, "center": [25.640994657369056, -23.540387899789614]}
2020-06-25 13:04:23.661 {"radius": 3, "center": [25.66556790186689, -23.274326676444296]}
2020-06-25 13:04:24.531 {"radius": 3, "center": [25.689691363231404, -23.011619337625607]}
2020-06-25 13:04:25.487 {"radius": 3, "center": [25.726085856373775, -22.72388339775403]}
2020-06-25 13:04:26.343 {"radius": 3, "center": [25.75554482644025, -22.4729873465981]}
2020-06-25 13:04:27.242 {"radius": 3, "center": [25.784561198120937, -22.192407030558027]}
2020-06-25 13:04:28.150 {"radius": 3, "center": [25.812477112300048, -21.911725413458043]}
2020-06-25 13:04:29.053 {"radius": 3, "center": [25.843035040820432, -21.63530752747678]}
2020-06-25 13:04:29.967 {"radius": 3, "center": [25.87471261746483, -21.38738847820963]}
2020-06-25 13:04:30.868 {"radius": 3, "center": [25.915588631339077, -21.142386779896146]}
2020-06-25 13:04:31.786 {"radius": 3, "center": [25.957515637948518, -20.8957151441578]}
2020-06-25 13:04:32.686 {"radius": 3, "center": [25.997509341783854, -20.634229914358613]}
2020-06-25 13:04:33.595 {"radius": 3, "center": [26.04572070106586, -20.384108725788206]}
2020-06-25 13:04:34.482 {"radius": 3, "center": [26.08940702358455, -20.144314537331564]}
2020-06-25 13:04:35.392 {"radius": 3, "center": [26.138866150293246, -19.904718653841176]}
2020-06-25 13:04:36.301 {"radius": 3, "center": [26.18715221860863, -19.63660599808537]}
2020-06-25 13:04:37.211 {"radius": 3, "center": [26.23753208769587, -19.3458499817862]}
2020-06-25 13:04:38.126 {"radius": 3, "center": [26.292522506163888, -19.099273148017428]}
2020-06-25 13:04:39.022 {"radius": 3, "center": [26.371453430103035, -18.816539857435593]}
2020-06-25 13:04:39.935 {"radius": 3, "center": [26.449514841958184, -18.557893812735838]}
2020-06-25 13:04:40.831 {"radius": 3, "center": [26.533171771912038, -18.30133546518333]}
2020-06-25 13:04:41.733 {"radius": 3, "center": [26.617726230890064, -18.031916775134665]}
2020-06-25 13:04:42.638 {"radius": 3, "center": [26.717768089609628, -17.778350913211348]}
2020-06-25 13:04:43.629 {"radius": 3, "center": [26.84031124959296, -17.508268089252443]}
2020-06-25 13:04:44.602 {"radius": 3, "center": [26.974918844294272, -17.233640505116938]}
2020-06-25 13:04:45.578 {"radius": 3, "center": [27.10288684052103, -16.976484371633983]}
2020-06-25 13:04:46.488 {"radius": 3, "center": [27.19276605086473, -16.72607428159605]}
2020-06-25 13:04:47.399 {"radius": 3, "center": [27.240690394274115, -16.467462665880486]}
2020-06-25 13:04:48.306 {"radius": 3, "center": [27.258604873031235, -16.212505191349326]}
2020-06-25 13:04:49.223 {"radius": 3, "center": [27.249154061654476, -15.96563845846997]}
2020-06-25 13:04:50.120 {"radius": 3, "center": [27.240377807865556, -15.724763726949247]}
2020-06-25 13:04:51.014 {"radius": 3, "center": [27.231206120487034, -15.444241289514363]}
2020-06-25 13:04:51.928 {"radius": 3, "center": [27.221509186664466, -15.187056224739829]}
2020-06-25 13:04:52.826 {"radius": 3, "center": [27.209451223882784, -14.93009113036057]}
2020-06-25 13:04:53.737 {"radius": 3, "center": [27.19959773793378, -14.655942099849447]}
2020-06-25 13:04:54.641 {"radius": 3, "center": [27.18829166702761, -14.396932180240043]}
2020-06-25 13:04:55.547 {"radius": 3, "center": [27.18174128306786, -14.131124501817819]}
2020-06-25 13:04:56.444 {"radius": 3, "center": [27.17326394989904, -13.858858023775527]}
2020-06-25 13:04:57.355 {"radius": 3, "center": [27.158448051779708, -13.607651651733715]}
2020-06-25 13:04:58.261 {"radius": 3, "center": [27.14986584496861, -13.354381344914504]}
2020-06-25 13:04:59.167 {"radius": 3, "center": [27.14211382934906, -13.1118771020449]}
2020-06-25 13:05:00.069 {"radius": 3, "center": [27.131794099221494, -12.867413729988264]}
2020-06-25 13:05:00.978 {"radius": 3, "center": [27.12947954618442, -12.575013497880585]}
2020-06-25 13:05:01.884 {"radius": 3, "center": [27.121215601998895, -12.293890031531388]}
2020-06-25 13:05:02.789 {"radius": 3, "center": [27.11639007439359, -12.064270036612122]}
2020-06-25 13:05:03.704 {"radius": 3, "center": [27.12130192262589, -11.790032034987538]}
2020-06-25 13:05:04.594 {"radius": 3, "center": [27.123093733344568, -11.536710069157486]}
2020-06-25 13:05:05.497 {"radius": 3, "center": [27.13118792564419, -11.278759092828167]}
