2020-06-25 13:42:34.652 {"radius": 3, "center": [25.446217400985997, -27.770081294461672]}
2020-06-25 13:43:06.391 {"radius": 3, "center": [25.499231412064354, -27.49235113149937]}
2020-06-25 13:43:07.451 {"radius": 3, "center": [25.500723341702717, -27.264246053242584]}
2020-06-25 13:43:08.503 {"radius": 3, "center": [25.488468973273196, -26.988330489670943]}
2020-06-25 13:43:09.476 {"radius": 3, "center": [25.483197440085913, -26.752446487501693]}
2020-06-25 13:43:10.461 {"radius": 3, "center": [25.47966456074992, -26.56672040943766]}
2020-06-25 13:43:11.438 {"radius": 3, "center": [25.483336066460307, -26.316145925685987]}
2020-06-25 13:43:12.422 {"radius": 3, "center": [25.498669725034027, -26.058383803844425]}
2020-06-25 13:43:13.326 {"radius": 3, "center": [25.50860074457975, -25.78907283519812]}
2020-06-25 13:43:14.228 {"radius": 3, "center": [25.524964173828522, -25.57347876581064]}
2020-06-25 13:43:15.206 {"radius": 3, "center": [25.537040832254316, -25.300097271307823]}
2020-06-25 13:43:16.113 {"radius": 3, "center": [25.549855930529183, -25.048089591578155]}
2020-06-25 13:43:17.019 {"radius": 3, "center": [25.56539851776212, -24.78219254919739]}
2020-06-25 13:43:17.924 {"radius": 3, "center": [25.579980812635657, -24.54153202203166]}
2020-06-25 13:43:18.829 {"radius": 3, "center": [25.60207895066028, -24.257357731728018]}
2020-06-25 13:43:19.740 {"radius": 3, "center": [25.631402450670176, -23.96995569084836]}
2020-06-25 13:43:20.644 {"radius": 3, "center": [25.649540850517486, -23.70691506492116]}
2020-06-25 13:43:21.547 {"radius": 3, "center": [25.664052797806168, -23.500020523737053]}
2020-06-25 13:43:22.444 {"radius": 3, "center": [25.67628431565423, -23.26044618953903]}
2020-06-25 13:43:23.358 {"radius": 3, "center": [25.70082978025206, -23.001015293002283]}
2020-06-25 13:43:24.266 {"radius": 3, "center": [25.723218071864622, -22.725045239195612]}
2020-06-25 13:43:25.166 {"radius": 3, "center": [25.743337298229783, -22.481657887064916]}
2020-06-25 13:43:26.072 {"radius": 3, "center": [25.773497349218975, -22.222038926236145]}
2020-06-25 13:43:26.983 {"radius": 3, "center": [25.802620909614912, -21.968793972546536]}
2020-06-25 13:43:27.882 {"radius": 3, "center": [25.832939850894544, -21.72019730193218]}
2020-06-25 13:43:28.791 {"radius": 3, "center": [25.868517727402487, -21.46891130387247]}
2020-06-25 13:43:29.685 {"radius": 3, "center": [25.90555214871786, -21.236951560659023]}
2020-06-25 13:43:30.598 {"radius": 3, "center": [25.932921592847546, -20.985340952018014]}
2020-06-25 13:43:31.497 {"radius": 3, "center": [25.975341273417364, -20.71926285133642]}
2020-06-25 13:43:32.405 {"radius": 3, "center": [26.01744129549704, -20.454611811113217]}
2020-06-25 13:43:33.299 {"radius": 3, "center": [26.065812541928793, -20.221399775989838]}
2020-06-25 13:43:34.220 {"radius": 3, "center": [26.118514364433985, -19.940284097783188]}
2020-06-25 13:43:35.117 {"radius": 3, "center": [26.17128833093264, -19.648604719579208]}
2020-06-25 13:43:36.021 {"radius": 3, "center": [26.232158964192347, -19.377523118227707]}
2020-06-25 13:43:36.919 {"radius": 3, "center": [26.297375373984696, -19.136822200470434]}
2020-06-25 13:43:37.829 {"radius": 3, "center": [26.370866935357455, -18.851067269053566]}
2020-06-25 13:43:38.740 {"radius": 3, "center": [26.44494901291569, -18.57697792698188]}
2020-06-25 13:43:39.657 {"radius": 3, "center": [26.519834503915476, -18.373420070485068]}
2020-06-25 13:43:40.531 {"radius": 3, "center": [26.606404193539397, -18.137696683423503]}
2020-06-25 13:43:41.449 {"radius": 3, "center": [26.69320071990685, -17.891969397496638]}
2020-06-25 13:43:42.349 {"radius": 3, "center": [26.78565397112498, -17.62084646355246]}
2020-06-25 13:43:43.339 {"radius": 3, "center": [26.89733358058396, -17.37624322442946]}
2020-06-25 13:43:44.311 {"radius": 3, "center": [27.031757418081394, -17.104847294089225]}
2020-06-25 13:43:45.297 {"radius": 3, "center": [27.15655011114765, -16.85467268708968]}
2020-06-25 13:43:46.198 {"radius": 3, "center": [27.24148200817986, -16.56407427610289]}
2020-06-25 13:43:47.101 {"radius": 3, "center": [27.288293087560323, -16.2478192300277]}
2020-06-25 13:43:48.012 {"radius": 3, "center": [27.29193653115168, -16.004968743052984]}
2020-06-25 13:43:48.912 {"radius": 3, "center": [27.28697617983664, -15.739782449880286]}
2020-06-25 13:43:49.817 {"radius": 3, "center": [27.274545286720386, -15.505050449625813]}
2020-06-25 13:43:50.723 {"radius": 3, "center": [27.26654100320202, -15.232818913701193]}
2020-06-25 13:43:51.614 {"radius": 3, "center": [27.265220324729217, -14.986214787679222]}
2020-06-25 13:43:52.526 {"radius": 3, "center": [27.261436944156234, -14.731927116675534]}
2020-06-25 13:43:53.428 {"radius": 3, "center": [27.241771978985156, -14.468131103460117]}
2020-06-25 13:43:54.335 {"radius": 3, "center": [27.22238225189408, -14.19936309545434]}
2020-06-25 13:43:55.227 {"radius": 3, "center": [27.211189237103962, -13.927547611697833]}
2020-06-25 13:43:56.144 {"radius": 3, "center": [27.20130232824323, -13.644574663337416]}
2020-06-25 13:43:57.047 {"radius": 3, "center": [27.188509177120125, -13.391239635078547]}
2020-06-25 13:43:57.963 {"radius": 3, "center": [27.183156247593807, -13.115645292205677]}
2020-06-25 13:43:58.847 {"radius": 3, "center": [27.177054451361094, -12.850923071369813]}
2020-06-25 13:43:59.889 {"radius": 3, "center": [27.168333399764705, -12.597926513211688]}
2020-06-25 13:44:01.473 {"radius": 3, "center": [27.16095600600261, -12.363596793690489]}
2020-06-25 13:44:02.504 {"radius": 3, "center": [27.156119683469527, -12.148612658606163]}
2020-06-25 13:44:04.235 {"radius": 3, "center": [27.153247366155043, -11.906695842598067]}
2020-06-25 13:44:05.482 {"radius": 3, "center": [27.151677604120962, -11.632318053099247]}
2020-06-25 13:44:06.165 {"radius": 3, "center": [27.14947772784446, -11.384511599118188]}
2020-06-25 13:44:07.150 {"radius": 3, "center": [27.15540711010895, -11.147822547483301]}
2020-06-25 13:44:08.127 {"radius": 3, "center": [27.154333770768055, -10.887287495888602]}
2020-06-25 13:44:09.106 {"radius": 3, "center": [27.155521629290092, -10.605683795048737]}
2020-06-25 13:44:10.106 {"radius": 3, "center": [27.154732683779947, -10.358767354494976]}
2020-06-25 13:44:11.052 {"radius": 3, "center": [27.159444066585774, -10.106025055606835]}
2020-06-25 13:44:11.892 {"radius": 3, "center": [27.169226551908235, -9.870287526580267]}
2020-06-25 13:44:12.786 {"radius": 3, "center": [27.19282509829715, -9.63275868030689]}
2020-06-25 13:44:13.723 {"radius": 3, "center": [27.22612492009247, -9.38283265183312]}
2020-06-25 13:44:14.601 {"radius": 3, "center": [27.260345349244325, -9.137736708092794]}
2020-06-25 13:44:15.510 {"radius": 3, "center": [27.292060861004305, -8.954959098008475]}
2020-06-25 13:44:16.411 {"radius": 3, "center": [27.330512305855777, -8.635597154272537]}
2020-06-25 13:44:17.308 {"radius": 3, "center": [27.354598931412287, -8.444719206940173]}
2020-06-25 13:44:18.219 {"radius": 3, "center": [27.38981068580895, -8.124122085411669]}
2020-06-25 13:44:19.129 {"radius": 3, "center": [27.40800365360716, -7.934677404772128]}
2020-06-25 13:44:20.027 {"radius": 3, "center": [27.44004084495317, -7.628619762274734]}
2020-06-25 13:44:20.927 {"radius": 3, "center": [27.45658869487401, -7.413305806675536]}
2020-06-25 13:44:21.834 {"radius": 3, "center": [27.477317964325632, -7.111212283292892]}
2020-06-25 13:44:22.743 {"radius": 3, "center": [27.49392127187957, -6.87957716062721]}
2020-06-25 13:44:23.636 {"radius": 3, "center": [27.532315986051362, -6.614111623903189]}
2020-06-25 13:44:24.541 {"radius": 3, "center": [27.559509725865297, -6.358560093685322]}
2020-06-25 13:44:25.458 {"radius": 3, "center": [27.58577693039497, -6.092509046931427]}
2020-06-25 13:44:26.216 {"radius": 3, "center": [27.568347553521548, -5.87760208672015]}
2020-06-25 13:44:26.741 {"radius": 3, "center": [27.52199107999175, -5.740584715343201]}
2020-06-25 13:44:27.267 {"radius": 3, "center": [27.434971300412542, -5.622787012999442]}
2020-06-25 13:44:28.323 {"radius": 3, "center": [27.222300727216936, -5.402757005625058]}
2020-06-25 13:44:29.450 {"radius": 3, "center": [26.972266446312112, -5.212850241421591]}
2020-06-25 13:44:30.507 {"radius": 3, "center": [26.717786655261026, -5.042616537284045]}
2020-06-25 13:44:31.570 {"radius": 3, "center": [26.46693106593235, -4.878397438114184]}
2020-06-25 13:44:32.612 {"radius": 3, "center": [26.20139110094075, -4.715844602239665]}
2020-06-25 13:44:33.672 {"radius": 3, "center": [25.940150067253537, -4.553495850951855]}
2020-06-25 13:44:34.726 {"radius": 3, "center": [25.69624477105804, -4.381927935298404]}
2020-06-25 13:44:35.772 {"radius": 3, "center": [25.448187043381484, -4.199805317467993]}
2020-06-25 13:44:36.826 {"radius": 3, "center": [25.20563940044058, -4.021504511833163]}
2020-06-25 13:44:37.881 {"radius": 3, "center": [24.9548371121325, -3.8466703040220764]}
2020-06-25 13:44:39.012 {"radius": 3, "center": [24.700902589430342, -3.670897636519978]}
2020-06-25 13:44:40.064 {"radius": 3, "center": [24.462540393908352, -3.5013183236823116]}
2020-06-25 13:44:41.116 {"radius": 3, "center": [24.21050877905699, -3.319450108677333]}
2020-06-25 13:44:42.246 {"radius": 3, "center": [23.949548428386336, -3.1267347576140523]}
2020-06-25 13:44:43.387 {"radius": 3, "center": [23.690572590603566, -2.9218252357295182]}
2020-06-25 13:44:44.502 {"radius": 3, "center": [23.432124508659797, -2.7143734475178203]}
2020-06-25 13:44:45.556 {"radius": 3, "center": [23.18200725842311, -2.5415884458632765]}
2020-06-25 13:44:46.153 {"radius": 3, "center": [23.01521799607851, -2.473922959805116]}
2020-06-25 13:44:47.067 {"radius": 3, "center": [22.769610661714463, -2.411087646859307]}
2020-06-25 13:44:48.037 {"radius": 3, "center": [22.51542916624905, -2.325148712510526]}
2020-06-25 13:44:48.942 {"radius": 3, "center": [22.25452534408192, -2.2876545336623537]}
2020-06-25 13:44:49.846 {"radius": 3, "center": [21.99934979794179, -2.2817877115340095]}
2020-06-25 13:44:50.740 {"radius": 3, "center": [21.733870409340177, -2.2756344120670335]}
2020-06-25 13:44:51.652 {"radius": 3, "center": [21.468177282420523, -2.2723830411009662]}
2020-06-25 13:44:52.555 {"radius": 3, "center": [21.20616193530048, -2.2710230522129877]}
2020-06-25 13:44:53.464 {"radius": 3, "center": [20.95149863034381, -2.254494565901043]}
2020-06-25 13:44:54.430 {"radius": 3, "center": [20.68398666222745, -2.2067615302928343]}
