2020-06-25 16:12:44.572 {"radius": 3, "center": [25.478316352810225, -27.782933853311018]}
2020-06-25 16:13:21.090 {"radius": 3, "center": [25.488255625659974, -27.533939857769273]}
2020-06-25 16:13:22.150 {"radius": 3, "center": [25.485037618210015, -27.283276877907362]}
2020-06-25 16:13:23.213 {"radius": 3, "center": [25.499914249392344, -27.00229425712531]}
2020-06-25 16:13:24.191 {"radius": 3, "center": [25.513729722070767, -26.710453303056976]}
2020-06-25 16:13:25.175 {"radius": 3, "center": [25.508429745015526, -26.422488452041573]}
2020-06-25 16:13:26.166 {"radius": 3, "center": [25.508357191167367, -26.13841774369248]}
2020-06-25 16:13:27.152 {"radius": 3, "center": [25.508205620486784, -25.890136660075754]}
2020-06-25 16:13:28.059 {"radius": 3, "center": [25.503197992978926, -25.641927156886222]}
2020-06-25 16:13:28.964 {"radius": 3, "center": [25.494021465785924, -25.38931256955073]}
2020-06-25 16:13:29.885 {"radius": 3, "center": [25.496511753127894, -25.137964617410397]}
2020-06-25 16:13:30.795 {"radius": 3, "center": [25.489485082348214, -24.859509232295157]}
2020-06-25 16:13:31.698 {"radius": 3, "center": [25.485080063400254, -24.616421227164377]}
2020-06-25 16:13:32.605 {"radius": 3, "center": [25.49039610062142, -24.35864555916657]}
2020-06-25 16:13:33.534 {"radius": 3, "center": [25.489078914268582, -24.132898984276054]}
2020-06-25 16:13:34.484 {"radius": 3, "center": [25.492940282176363, -23.91787098221297]}
2020-06-25 16:13:35.338 {"radius": 3, "center": [25.511594798659356, -23.669412620262634]}
2020-06-25 16:13:36.333 {"radius": 3, "center": [25.531879528301392, -23.464927172382026]}
2020-06-25 16:13:37.157 {"radius": 3, "center": [25.570408215018453, -23.26341726779127]}
2020-06-25 16:13:38.186 {"radius": 3, "center": [25.618774412932805, -23.0247929114501]}
2020-06-25 16:13:38.969 {"radius": 3, "center": [25.65446353326067, -22.7940877954997]}
2020-06-25 16:13:39.883 {"radius": 3, "center": [25.694251678632508, -22.53392978552881]}
2020-06-25 16:13:40.795 {"radius": 3, "center": [25.723275774715162, -22.313928093648784]}
2020-06-25 16:13:41.721 {"radius": 3, "center": [25.758907902710693, -22.03792789818151]}
2020-06-25 16:13:42.627 {"radius": 3, "center": [25.793780495033594, -21.76914204872593]}
2020-06-25 16:13:43.531 {"radius": 3, "center": [25.816412513094487, -21.52114797250843]}
2020-06-25 16:13:44.443 {"radius": 3, "center": [25.85298096663048, -21.23895197078111]}
2020-06-25 16:13:45.355 {"radius": 3, "center": [25.881953375814003, -20.989929251088725]}
2020-06-25 16:13:46.260 {"radius": 3, "center": [25.931590797528646, -20.745463812653973]}
2020-06-25 16:13:47.171 {"radius": 3, "center": [25.978437028397412, -20.49363246534795]}
2020-06-25 16:13:48.075 {"radius": 3, "center": [26.025755841816093, -20.248537484726896]}
2020-06-25 16:13:48.982 {"radius": 3, "center": [26.082289962926495, -20.02426065537012]}
2020-06-25 16:13:49.900 {"radius": 3, "center": [26.142239965355355, -19.75559970734021]}
2020-06-25 16:13:50.802 {"radius": 3, "center": [26.1953790204157, -19.499625639342213]}
2020-06-25 16:13:51.715 {"radius": 3, "center": [26.255005877643544, -19.252200637536742]}
2020-06-25 16:13:52.613 {"radius": 3, "center": [26.316378582131367, -19.033811225004186]}
2020-06-25 16:13:53.535 {"radius": 3, "center": [26.395786298036683, -18.71022436184996]}
2020-06-25 16:13:54.434 {"radius": 3, "center": [26.45843395848174, -18.464510954126414]}
2020-06-25 16:13:55.344 {"radius": 3, "center": [26.535949144695334, -18.196396344268162]}
2020-06-25 16:13:56.244 {"radius": 3, "center": [26.61193075614885, -17.92277955899903]}
2020-06-25 16:13:57.164 {"radius": 3, "center": [26.708772000677005, -17.64802735523325]}
2020-06-25 16:13:58.145 {"radius": 3, "center": [26.83688383272442, -17.441025287944502]}
2020-06-25 16:13:59.126 {"radius": 3, "center": [26.983940213941345, -17.11117754095324]}
2020-06-25 16:14:00.101 {"radius": 3, "center": [27.106911271939925, -16.922147282195567]}
2020-06-25 16:14:01.018 {"radius": 3, "center": [27.2109528462775, -16.563553506885242]}
2020-06-25 16:14:01.922 {"radius": 3, "center": [27.276929709312594, -16.30603223538623]}
