2020-06-25 15:40:56.807 {"radius": 3, "center": [25.465119419244253, -27.771805227841426]}
2020-06-25 15:41:17.537 {"radius": 3, "center": [25.493079622761037, -27.523998453282164]}
2020-06-25 15:41:18.454 {"radius": 3, "center": [25.521532928028144, -27.235472776363018]}
2020-06-25 15:41:19.466 {"radius": 3, "center": [25.530332828875252, -26.946201862634457]}
2020-06-25 15:41:20.447 {"radius": 3, "center": [25.532581315351766, -26.664273239548105]}
2020-06-25 15:41:21.504 {"radius": 3, "center": [25.53709176714421, -26.379385681844113]}
2020-06-25 15:41:22.519 {"radius": 3, "center": [25.545683242318564, -26.12474384434461]}
2020-06-25 15:41:23.490 {"radius": 3, "center": [25.55565947622613, -25.832605490487754]}
2020-06-25 15:41:24.429 {"radius": 3, "center": [25.556888757524913, -25.54596093201444]}
2020-06-25 15:41:25.377 {"radius": 3, "center": [25.564796608576412, -25.28642281474633]}
2020-06-25 15:41:26.314 {"radius": 3, "center": [25.575494005195285, -25.01219762558921]}
2020-06-25 15:41:27.246 {"radius": 3, "center": [25.586858755744785, -24.74958602796178]}
2020-06-25 15:41:28.180 {"radius": 3, "center": [25.592782773888395, -24.499228521029263]}
2020-06-25 15:41:29.198 {"radius": 3, "center": [25.595890224641835, -24.25322244812071]}
2020-06-25 15:41:30.055 {"radius": 3, "center": [25.617429807006683, -23.957131942789538]}
2020-06-25 15:41:31.002 {"radius": 3, "center": [25.631598750777144, -23.667211137643182]}
2020-06-25 15:41:31.933 {"radius": 3, "center": [25.651379103671502, -23.395399253190774]}
2020-06-25 15:41:32.867 {"radius": 3, "center": [25.679271109388313, -23.13211602334558]}
2020-06-25 15:41:33.720 {"radius": 3, "center": [25.70131731866116, -22.887833508983952]}
2020-06-25 15:41:34.594 {"radius": 3, "center": [25.727054639086298, -22.615700620602954]}
2020-06-25 15:41:35.448 {"radius": 3, "center": [25.75126455319332, -22.375156145081913]}
2020-06-25 15:41:36.335 {"radius": 3, "center": [25.78598739052285, -22.110465172]}
2020-06-25 15:41:37.201 {"radius": 3, "center": [25.81010450840561, -21.887311805317754]}
2020-06-25 15:41:38.023 {"radius": 3, "center": [25.84094058473681, -21.645936209153483]}
2020-06-25 15:41:38.888 {"radius": 3, "center": [25.87606547976685, -21.400224525123505]}
2020-06-25 15:41:39.740 {"radius": 3, "center": [25.91408469919112, -21.176657301074112]}
2020-06-25 15:41:40.607 {"radius": 3, "center": [25.95749688468349, -20.94767895175756]}
2020-06-25 15:41:41.470 {"radius": 3, "center": [26.014162638006614, -20.68024885805895]}
2020-06-25 15:41:42.351 {"radius": 3, "center": [26.06137442444743, -20.41919358322641]}
2020-06-25 15:41:43.180 {"radius": 3, "center": [26.11302005249555, -20.1325238789031]}
2020-06-25 15:41:44.040 {"radius": 3, "center": [26.16448183452269, -19.868196662537954]}
2020-06-25 15:41:44.903 {"radius": 3, "center": [26.221174123004023, -19.59463846116259]}
2020-06-25 15:41:45.757 {"radius": 3, "center": [26.28188139289051, -19.336882075204862]}
2020-06-25 15:41:46.614 {"radius": 3, "center": [26.34321298986935, -19.0823693851275]}
2020-06-25 15:41:47.505 {"radius": 3, "center": [26.412161528694284, -18.808362028777324]}
2020-06-25 15:41:48.478 {"radius": 3, "center": [26.484787387600647, -18.528803504401225]}
2020-06-25 15:41:49.291 {"radius": 3, "center": [26.55409693138411, -18.279876784548648]}
2020-06-25 15:41:50.130 {"radius": 3, "center": [26.634266695704746, -18.033060484749367]}
2020-06-25 15:41:51.136 {"radius": 3, "center": [26.72511177632499, -17.778271644262798]}
2020-06-25 15:41:51.993 {"radius": 3, "center": [26.832173738204485, -17.50235485438367]}
2020-06-25 15:41:52.921 {"radius": 3, "center": [26.95063857011804, -17.223666271070716]}
2020-06-25 15:41:53.856 {"radius": 3, "center": [27.069353274685362, -17.00137908478979]}
2020-06-25 15:41:54.793 {"radius": 3, "center": [27.177066971952115, -16.722712936406666]}
2020-06-25 15:41:55.646 {"radius": 3, "center": [27.24371187526627, -16.456787051405783]}
2020-06-25 15:41:56.502 {"radius": 3, "center": [27.27010692063742, -16.214793629021564]}
2020-06-25 15:41:57.442 {"radius": 3, "center": [27.281840258346865, -15.911086744922722]}
2020-06-25 15:41:58.414 {"radius": 3, "center": [27.276059885470314, -15.638878786188553]}
2020-06-25 15:41:59.308 {"radius": 3, "center": [27.25751125102061, -15.357302221022499]}
2020-06-25 15:42:00.242 {"radius": 3, "center": [27.240358577818178, -15.068912541726007]}
2020-06-25 15:42:01.177 {"radius": 3, "center": [27.226392932436884, -14.787211129724351]}
2020-06-25 15:42:02.111 {"radius": 3, "center": [27.222760392232136, -14.521167323195057]}
2020-06-25 15:42:03.143 {"radius": 3, "center": [27.212331251663407, -14.277303690615765]}
2020-06-25 15:42:03.995 {"radius": 3, "center": [27.190292640724035, -14.010183399757558]}
2020-06-25 15:42:04.912 {"radius": 3, "center": [27.171934514489347, -13.693101637054726]}
2020-06-25 15:42:05.844 {"radius": 3, "center": [27.16055181848921, -13.406582678048995]}
2020-06-25 15:42:06.774 {"radius": 3, "center": [27.14481629824791, -13.144987533960872]}
2020-06-25 15:42:07.714 {"radius": 3, "center": [27.13088947901697, -12.86952417853581]}
2020-06-25 15:42:08.571 {"radius": 3, "center": [27.12955054467202, -12.613082410485257]}
2020-06-25 15:42:09.468 {"radius": 3, "center": [27.122258432773116, -12.346578696072928]}
2020-06-25 15:42:10.445 {"radius": 3, "center": [27.117467406399303, -12.072078703971727]}
2020-06-25 15:42:11.299 {"radius": 3, "center": [27.104520350828878, -11.796218115288207]}
2020-06-25 15:42:12.225 {"radius": 3, "center": [27.088090132471635, -11.56709490332088]}
2020-06-25 15:42:13.163 {"radius": 3, "center": [27.086011162909823, -11.311762726973859]}
