2020-06-25 16:44:17.472 {"radius": 3, "center": [25.46767686063551, -27.772258015252575]}
2020-06-25 16:44:27.090 {"radius": 3, "center": [25.505529131842756, -27.521941161849302]}
2020-06-25 16:44:28.148 {"radius": 3, "center": [25.520836186010225, -27.242375010496264]}
2020-06-25 16:44:29.136 {"radius": 3, "center": [25.517234250224014, -26.967592901577323]}
2020-06-25 16:44:30.122 {"radius": 3, "center": [25.513647944603385, -26.692633536525125]}
2020-06-25 16:44:31.114 {"radius": 3, "center": [25.509642639101596, -26.434885988108906]}
2020-06-25 16:44:32.106 {"radius": 3, "center": [25.51830341476815, -26.165796074155466]}
2020-06-25 16:44:33.098 {"radius": 3, "center": [25.52183969160962, -25.89145480077812]}
2020-06-25 16:44:34.009 {"radius": 3, "center": [25.518589422216102, -25.653210650988946]}
2020-06-25 16:44:35.002 {"radius": 3, "center": [25.519646214059485, -25.404713473916736]}
2020-06-25 16:44:35.913 {"radius": 3, "center": [25.523738091040144, -25.15825447497922]}
2020-06-25 16:44:36.834 {"radius": 3, "center": [25.535910613885267, -24.917269678693472]}
2020-06-25 16:44:37.746 {"radius": 3, "center": [25.54326915432484, -24.6694892711125]}
2020-06-25 16:44:38.656 {"radius": 3, "center": [25.554304604739357, -24.421107314244985]}
2020-06-25 16:44:39.578 {"radius": 3, "center": [25.563701900139762, -24.16702131056894]}
2020-06-25 16:44:40.486 {"radius": 3, "center": [25.581124076928795, -23.905851370273236]}
2020-06-25 16:44:41.530 {"radius": 3, "center": [25.597003961439682, -23.653379562672153]}
2020-06-25 16:44:42.325 {"radius": 3, "center": [25.606286929057617, -23.41673947561437]}
2020-06-25 16:44:43.232 {"radius": 3, "center": [25.608999521820532, -23.17926839141958]}
2020-06-25 16:44:44.149 {"radius": 3, "center": [25.619639280882264, -22.929015339308382]}
2020-06-25 16:44:45.065 {"radius": 3, "center": [25.64285230608402, -22.657196816189547]}
2020-06-25 16:44:45.982 {"radius": 3, "center": [25.66827342052627, -22.4167662411146]}
2020-06-25 16:44:46.829 {"radius": 3, "center": [25.69738378138597, -22.172997854217]}
2020-06-25 16:44:47.747 {"radius": 3, "center": [25.730729014019275, -21.909012948759816]}
2020-06-25 16:44:48.658 {"radius": 3, "center": [25.778477739006583, -21.65735615867729]}
2020-06-25 16:44:49.669 {"radius": 3, "center": [25.83590006977464, -21.388983717375577]}
2020-06-25 16:44:50.491 {"radius": 3, "center": [25.892463066656422, -21.131511542470157]}
2020-06-25 16:44:51.399 {"radius": 3, "center": [25.942303978598417, -20.88327628783823]}
2020-06-25 16:44:52.327 {"radius": 3, "center": [25.990413056794132, -20.613792690273197]}
2020-06-25 16:44:53.234 {"radius": 3, "center": [26.038528849053847, -20.359005612952494]}
