time,R1_latency,R2_latency,R3_latency,R4_latency,R5_latency,R6_latency,PoA,server,ne_latency,fe_latency,cs_latency
1,0,0,2,0,0,0,R3,cs,0,0,9
2,0,0,2,0,0,0,R3,cs,0,0,9
3,0,0,2,0,0,0,R3,cs,0,0,9
4,0,0,2,0,0,0,R3,cs,0,0,9
5,0,0,2,0,0,0,R3,cs,0,0,9
6,0,0,2,0,0,0,R3,cs,0,0,9
7,0,0,2,0,0,0,R3,cs,0,0,9
8,0,0,2,0,0,0,R3,cs,0,0,9
9,0,0,2,0,0,0,R3,cs,0,0,9
10,0,0,2,0,0,0,R3,cs,0,0,9
11,0,0,2,0,0,0,R3,cs,0,0,9
12,0,0,2,0,0,0,R3,cs,0,0,9
13,0,0,2,0,0,0,R3,cs,0,0,9
14,0,0,2,0,0,0,R3,cs,0,0,9
15,0,0,2,0,0,0,R3,cs,0,0,9
16,0,0,2,0,0,0,R3,cs,0,0,9
17,0,0,2,0,0,0,R3,cs,0,0,9
18,0,0,2,0,0,0,R3,cs,0,0,9
19,0,0,2,0,0,0,R3,cs,0,0,9
20,0,0,2,0,0,0,R3,cs,0,0,9
21,0,0,2,0,0,0,R3,cs,0,0,9
22,0,0,2,0,0,0,R3,cs,0,0,9
23,0,0,2,0,0,0,R3,cs,0,0,9
24,0,0,2,0,0,0,R3,cs,0,0,9
25,0,0,2,0,0,0,R3,cs,0,0,9
26,0,0,2,0,0,0,R3,cs,0,0,9
27,0,0,2,0,0,0,R3,cs,0,0,9
28,0,0,2,0,0,0,R3,cs,0,0,9
29,0,0,2,0,0,0,R3,cs,0,0,9
30,0,0,2,0,0,0,R3,cs,0,0,9
31,0,0,2,0,0,0,R3,cs,0,0,9
32,0,0,2,0,0,0,R3,cs,0,0,9
33,0,0,2,0,0,0,R3,cs,0,0,9
34,0,0,2,0,0,0,R3,cs,0,0,9
35,0,0,2,0,0,0,R3,cs,0,0,9
36,0,0,2,0,0,0,R3,cs,0,0,9
37,0,0,2,0,0,0,R3,cs,0,0,9
38,0,0,2,0,0,0,R3,cs,0,0,9
39,0,0,2,0,0,0,R3,cs,0,0,9
40,0,0,2,0,0,0,R3,cs,0,0,9
41,0,0,2,0,0,0,R3,cs,0,0,9
42,0,0,2,0,0,0,R3,cs,0,0,9
43,0,0,2,0,0,0,R3,cs,0,0,9
44,0,0,2,0,0,0,R3,cs,0,0,9
45,0,0,2,0,0,0,R3,cs,0,0,9
46,0,0,2,0,0,0,R3,cs,0,0,9
47,0,0,2,0,0,0,R3,cs,0,0,9
48,0,0,2,0,0,0,R3,cs,0,0,9
49,0,0,2,0,0,0,R3,cs,0,0,9
50,0,0,2,0,0,0,R3,cs,0,0,9
51,0,0,2,0,0,0,R3,cs,0,0,9
52,0,0,2,0,0,0,R3,cs,0,0,9
53,0,0,2,0,0,0,R3,cs,0,0,9
54,0,0,2,0,0,0,R3,cs,0,0,9
55,0,0,2,0,0,0,R3,cs,0,0,9
56,0,0,2,0,0,0,R3,cs,0,0,9
57,0,0,2,0,0,0,R3,cs,0,0,9
58,0,0,2,0,0,0,R3,cs,0,0,9
59,0,0,2,0,0,0,R3,cs,0,0,9
60,0,0,2,0,0,0,R3,cs,0,0,9
61,0,0,2,0,0,0,R3,cs,0,0,9
62,0,0,2,0,0,0,R3,cs,0,0,9
63,0,0,2,0,0,0,R3,cs,0,0,9
64,0,0,2,0,0,0,R3,cs,0,0,9
65,0,0,2,0,0,0,R3,cs,0,0,9
66,0,0,2,0,0,0,R3,cs,0,0,9
67,0,0,2,0,0,0,R3,cs,0,0,9
68,0,0,2,0,0,0,R3,cs,0,0,9
69,0,0,2,0,0,0,R3,cs,0,0,9
70,0,0,2,0,0,0,R3,cs,0,0,9
71,0,0,2,0,0,0,R3,cs,0,0,9
72,0,0,2,0,0,0,R3,cs,0,0,9
73,0,0,2,0,0,0,R3,cs,0,0,9
74,0,0,2,0,0,0,R3,cs,0,0,9
75,0,0,2,0,0,0,R3,cs,0,0,9
76,0,0,2,0,0,0,R3,cs,0,0,9
77,0,0,2,0,0,0,R3,cs,0,0,9
78,0,0,2,0,0,0,R3,cs,0,0,9
79,0,0,2,0,0,0,R3,cs,0,0,9
80,0,0,2,0,0,0,R3,cs,0,0,9
81,0,0,2,0,0,0,R3,cs,0,0,9
82,0,0,2,0,0,0,R3,cs,0,0,9
83,0,0,2,0,0,0,R3,cs,0,0,9
84,0,0,2,0,0,0,R3,cs,0,0,9
85,0,0,2,0,0,0,R3,cs,0,0,9
86,0,0,2,0,0,0,R3,cs,0,0,9
87,0,0,2,0,0,0,R3,cs,0,0,9
88,0,0,2,0,0,0,R3,cs,0,0,9
89,0,0,2,0,0,0,R3,cs,0,0,9
90,0,0,2,0,0,0,R3,cs,0,0,9
91,0,0,2,0,0,0,R3,cs,0,0,9
92,0,0,2,0,0,0,R3,cs,0,0,9
93,0,0,2,0,0,0,R3,cs,0,0,9
94,0,0,2,0,0,0,R3,cs,0,0,9
95,0,0,2,0,0,0,R3,cs,0,0,9
96,0,0,2,0,0,0,R3,cs,0,0,9
97,0,0,2,0,0,0,R3,cs,0,0,9
98,0,0,2,0,0,0,R3,cs,0,0,9
99,0,0,2,0,0,0,R3,cs,0,0,9
100,0,0,2,0,0,0,R3,cs,0,0,9
101,0,0,0,0,0,0,R3,cs,0,0,0
102,0,0,0,0,0,0,R3,cs,0,0,0
103,0,0,0,0,0,0,R3,cs,0,0,0
104,0,0,0,0,0,0,R3,cs,0,0,0
105,0,0,0,0,0,0,R3,cs,0,0,0
106,0,0,0,0,0,0,R3,cs,0,0,0
107,0,0,0,0,0,0,R3,cs,0,0,0
108,0,0,0,0,0,0,R3,cs,0,0,0
109,0,0,0,0,0,0,R3,cs,0,0,0
110,0,0,0,0,0,0,R3,cs,0,0,0
111,0,0,0,0,0,0,R3,cs,0,0,0
112,0,0,0,0,0,0,R3,cs,0,0,0
113,0,0,0,0,0,0,R3,cs,0,0,0
114,0,0,0,0,0,0,R3,cs,0,0,0
115,0,0,0,0,0,0,R3,cs,0,0,0
116,0,0,0,0,0,0,R3,cs,0,0,0
117,0,0,0,0,0,0,R3,cs,0,0,0
118,0,0,0,0,0,0,R3,cs,0,0,0
119,0,0,0,0,0,0,R3,cs,0,0,0
120,0,0,0,0,0,0,R3,cs,0,0,0
121,0,0,0,0,0,0,R3,cs,0,0,0
122,0,0,0,0,0,0,R3,cs,0,0,0
123,0,0,0,0,0,0,R3,cs,0,0,0
124,0,0,0,0,0,0,R3,cs,0,0,0
125,0,0,0,0,0,0,R3,cs,0,0,0
