time,R1_latency,R2_latency,R3_latency,R4_latency,R5_latency,R6_latency,PoA,server,ne_latency,fe_latency,cs_latency,Delay
1,0,0,2,0,0,0,R3,cs,0,0,9,11
2,0,0,2,0,0,0,R3,cs,0,0,9,11
3,0,0,2,0,0,0,R3,cs,0,0,9,11
4,0,0,2,0,0,0,R3,cs,0,0,9,11
5,0,0,2,0,0,0,R3,cs,0,0,9,11
6,0,0,2,0,0,0,R3,cs,0,0,9,11
7,0,0,2,0,0,0,R3,cs,0,0,9,11
8,0,0,2,0,0,0,R3,cs,0,0,9,11
9,0,0,2,0,0,0,R3,cs,0,0,9,11
10,0,0,2,0,0,0,R3,cs,0,0,9,11
11,0,0,2,0,0,0,R3,cs,0,0,9,11
12,0,0,2,0,0,0,R3,cs,0,0,9,11
13,0,0,2,0,0,0,R3,cs,0,0,9,11
14,0,0,2,0,0,0,R3,cs,0,0,9,11
15,0,0,2,0,0,0,R3,cs,0,0,9,11
16,0,0,2,0,0,0,R3,cs,0,0,9,11
17,0,0,2,0,0,0,R3,cs,0,0,9,11
18,0,0,2,0,0,0,R3,cs,0,0,9,11
19,0,0,2,0,0,0,R3,cs,0,0,9,11
20,0,0,2,0,0,0,R3,cs,0,0,9,11
21,0,0,2,0,0,0,R3,cs,0,0,9,11
22,0,0,2,0,0,0,R3,cs,0,0,9,11
23,0,0,2,0,0,0,R3,cs,0,0,9,11
24,0,0,2,0,0,0,R3,cs,0,0,9,11
25,0,0,2,0,0,0,R3,cs,0,0,9,11
26,0,0,2,0,0,0,R3,cs,0,0,9,11
27,0,0,2,0,0,0,R3,cs,0,0,9,11
28,0,0,2,0,0,0,R3,cs,0,0,9,11
29,0,0,2,0,0,0,R3,cs,0,0,9,11
30,0,0,2,0,0,0,R3,cs,0,0,9,11
31,0,0,2,0,0,0,R3,cs,0,0,9,11
32,0,0,2,0,0,0,R3,cs,0,0,9,11
33,0,0,2,0,0,0,R3,cs,0,0,9,11
34,0,0,2,0,0,0,R3,cs,0,0,9,11
35,0,0,2,0,0,0,R3,cs,0,0,9,11
36,0,0,2,0,0,0,R3,cs,0,0,9,11
37,0,0,2,0,0,0,R3,cs,0,0,9,11
38,0,0,2,0,0,0,R3,cs,0,0,9,11
39,0,0,2,0,0,0,R3,cs,0,0,9,11
40,0,0,2,0,0,0,R3,cs,0,0,9,11
41,0,0,2,0,0,0,R3,cs,0,0,9,11
42,0,0,2,0,0,0,R3,cs,0,0,9,11
43,0,0,2,0,0,0,R3,cs,0,0,9,11
44,0,0,2,0,0,0,R3,cs,0,0,9,11
45,0,0,2,0,0,0,R3,cs,0,0,9,11
46,0,0,2,0,0,0,R3,cs,0,0,9,11
47,0,0,2,0,0,0,R3,cs,0,0,9,11
48,0,0,2,0,0,0,R3,cs,0,0,9,11
49,0,0,2,0,0,0,R3,cs,0,0,9,11
50,0,0,2,0,0,0,R3,cs,0,0,9,11
51,0,0,2,0,0,0,R3,cs,0,0,9,11
52,0,0,2,0,0,0,R3,cs,0,0,9,11
53,0,0,2,0,0,0,R3,cs,0,0,9,11
54,0,0,2,0,0,0,R3,cs,0,0,9,11
55,0,0,2,0,0,0,R3,cs,0,0,9,11
56,0,0,2,0,0,0,R3,cs,0,0,9,11
57,0,0,2,0,0,0,R3,cs,0,0,9,11
58,0,0,2,0,0,0,R3,cs,0,0,9,11
59,0,0,2,0,0,0,R3,cs,0,0,9,11
60,0,0,2,0,0,0,R3,cs,0,0,9,11
61,0,0,2,0,0,0,R3,cs,0,0,9,11
62,0,0,2,0,0,0,R3,cs,0,0,9,11
63,0,0,2,0,0,0,R3,cs,0,0,9,11
64,0,0,2,0,0,0,R3,cs,0,0,9,11
65,0,0,2,0,0,0,R3,cs,0,0,9,11
66,0,0,2,0,0,0,R3,cs,0,0,9,11
67,0,0,2,0,0,0,R3,cs,0,0,9,11
68,0,0,2,0,0,0,R3,cs,0,0,9,11
69,0,0,2,0,0,0,R3,cs,0,0,9,11
70,0,0,2,0,0,0,R3,cs,0,0,9,11
71,0,0,2,0,0,0,R3,cs,0,0,9,11
72,0,0,2,0,0,0,R3,cs,0,0,9,11
73,0,0,2,0,0,0,R3,cs,0,0,9,11
74,0,0,2,0,0,0,R3,cs,0,0,9,11
